feature,mean_abs_shap,mean_shap,rank
X782,2.025084555001259e-05,5.809294398789545e-07,249
X863,2.024153640726291e-05,3.2328612726042353e-06,250
X628,2.022421848160194e-05,-2.685996821870676e-06,251
X841,2.0222111900876956e-05,6.112777707063177e-09,252
X95,2.006063164787098e-05,-1.0111320536392486e-06,253
X1081,1.9954573139088295e-05,1.4779262490902222e-06,254
X913,1.9894220692967027e-05,7.294700067130933e-07,255
X808,1.9780756966107153e-05,-1.198032207443875e-06,256
X549,1.967558120012345e-05,-1.6630401724949187e-07,257
X266,1.9545778761409034e-05,2.356633891195317e-07,258
X54,1.9341393996356343e-05,-2.7725379237767876e-08,259
X482,1.930684175404559e-05,7.559138306091011e-07,260
X66,1.9303890655171558e-05,1.7592933374031456e-07,261
X1044,1.9237428190968782e-05,3.951314621260558e-06,262
X909,1.9164797697842668e-05,1.1928368332078925e-06,263
X868,1.875687532280435e-05,3.4763735621618917e-07,264
X979,1.872782652423503e-05,-1.3839300079588382e-06,265
X665,1.8691522808300735e-05,8.159067937219767e-06,266
X203,1.869055043441672e-05,5.196544323208156e-07,267
X28,1.868264414628045e-05,-7.200851048947788e-08,268
X667,1.8593739545695435e-05,4.100764957493738e-08,269
X977,1.8354664526799413e-05,6.522406584411672e-08,270
X411,1.8312637158042446e-05,2.5160203196914504e-07,271
X55,1.8267950608881813e-05,-7.187732006022044e-07,272
X409,1.823267475232594e-05,-5.985764993307455e-06,273
X739,1.8062692742847848e-05,1.6247151639917224e-07,274
X5,1.8050687969063647e-05,1.1497991839745236e-06,275
X784,1.804305375650227e-05,-1.9822272766472256e-07,276
X963,1.8029850239043148e-05,6.20443850255557e-07,277
X330,1.7999873433543693e-05,-2.2657606572864916e-08,278
X121,1.7993945012976823e-05,5.073633685580346e-07,279
X811,1.781818861063929e-05,2.1569100349563957e-06,280
X670,1.77036271358044e-05,-2.857184231492972e-07,281
X399,1.7583042159869933e-05,-1.2877103068564143e-06,282
X285,1.749204428963517e-05,-8.05600693537526e-07,283
X69,1.7443698814297917e-05,3.1148201932547384e-07,284
X730,1.7266443409672925e-05,5.480786965930573e-07,285
X41,1.725506847262088e-05,-6.091920965001488e-07,286
X910,1.7233222114690673e-05,-1.1748169487644341e-06,287
X834,1.7023190080742578e-05,-5.766614203287766e-07,288
X821,1.694305550620663e-05,9.854832418621343e-07,289
X825,1.6812370262757487e-05,-9.196267499447116e-08,290
X748,1.679541443493956e-05,4.838916685276887e-07,291
X127,1.6792590319901107e-05,-6.473552523505066e-07,292
X978,1.6785217960097693e-05,6.869117350558702e-07,293
X154,1.6726839881446656e-05,1.5940706951297367e-06,294
X802,1.666483764423228e-05,-4.242999063108359e-06,295
X840,1.65945551247956e-05,2.040724043972462e-06,296
X392,1.6550823720459967e-05,-4.066632966719562e-06,297
X104,1.6506118485684244e-05,7.405820540100095e-07,298
X38,1.6369105320921437e-05,-9.998511691482204e-08,299
X791,1.6227879722374285e-05,-2.454691514821326e-06,300
X645,1.6103834792580943e-05,1.4139993098988466e-08,301
X579,1.605657820425127e-05,7.821443802034498e-07,302
X105,1.6031187520433988e-05,1.2620398738491538e-06,303
X389,1.5820321431965864e-05,1.4977518425173338e-07,304
X195,1.574918565779847e-05,-4.519815997573055e-07,305
X481,1.5686874751531632e-05,7.047470768147015e-07,306
X18,1.5569322680802708e-05,6.06043197026386e-07,307
X184,1.549103866511175e-05,-5.096727480536255e-07,308
X589_missing,1.529617423720213e-05,-5.617766454952939e-07,309
X117,1.5261324530597354e-05,-1.6995815854089233e-07,310
X744,1.5179448552100637e-05,2.6024358084346953e-06,311
X874,1.5111269950815457e-05,-1.3479750133260574e-06,312
X936,1.4911532066378466e-05,1.3635650676124675e-06,313
X780,1.4882218131855485e-05,-9.208706278443844e-07,314
X191,1.487031160460214e-05,2.800726466670726e-07,315
X801,1.4720407580299917e-05,3.0396326554114662e-06,316
X36,1.4718136096289719e-05,5.381835321124685e-07,317
X785,1.4684131232124164e-05,1.4821028437770604e-06,318
X935,1.4567656214845139e-05,2.0383383540449172e-07,319
X881,1.4520899903751914e-05,6.494075654695386e-07,320
X177,1.450205291177122e-05,-3.180386947719824e-07,321
X851,1.4442580044065718e-05,-3.6627463110113576e-07,322
X974,1.438967734913592e-05,1.2539740500168529e-07,323
X76,1.4320282594473718e-05,1.5554548833983203e-06,324
X77,1.4015054832887971e-05,-1.3984648915179645e-07,325
X260,1.3883731786820357e-05,-5.544584730227395e-07,326
X733,1.3852815003789915e-05,-1.965229522861223e-07,327
X751,1.3822569040832108e-05,4.597153815394019e-07,328
X1013,1.3767380145134845e-05,2.076134045803385e-06,329
X210,1.3648165349595348e-05,-4.1985698088303085e-08,330
X815,1.3608663812659321e-05,-9.400042951800737e-07,331
