ufs_serial,feature,shap_value,feat_norm,rank
S00613,X818,0.006902467071493597,0.0,0
S00615,X818,0.006902467071493597,0.0,0
S00622,X818,0.006902467071493597,0.0,0
S00628,X818,0.006902467071493597,0.0,0
S00633,X818,0.006902467071493597,0.0,0
S00652,X818,0.006902467071493597,0.0,0
S00663,X818,0.006902467071493597,0.0,0
S00672,X818,0.006902467071493597,0.0,0
S00674,X818,0.006902467071493597,0.0,0
S00675,X818,0.006902467071493597,0.0,0
S00678,X818,0.006902467071493597,0.0,0
S00680,X818,0.006902467071493597,0.0,0
S00681,X818,0.006902467071493597,0.0,0
S00682,X818,0.006902467071493597,0.0,0
S00684,X818,0.006902467071493597,0.0,0
S00694,X818,0.006902467071493597,0.0,0
S00695,X818,0.006902467071493597,0.0,0
S00699,X818,0.006902467071493597,0.0,0
S00704,X818,0.006902467071493597,0.0,0
S00709,X818,0.006902467071493597,0.0,0
S00714,X818,0.006902467071493597,0.0,0
S00715,X818,0.006902467071493597,0.0,0
S00723,X818,0.006902467071493597,0.0,0
S00725,X818,0.006902467071493597,0.0,0
S00730,X818,0.006902467071493597,0.0,0
S00739,X818,0.006902467071493597,0.0,0
S00750,X818,0.006902467071493597,0.0,0
S00753,X818,0.006902467071493597,0.0,0
S00756,X818,0.006902467071493597,0.0,0
S00760,X818,0.006902467071493597,0.0,0
S00764,X818,0.006902467071493597,0.0,0
S00767,X818,0.006902467071493597,0.0,0
S00768,X818,0.006902467071493597,0.0,0
S00770,X818,0.006902467071493597,0.0,0
S00779,X818,0.006902467071493597,0.0,0
S00780,X818,0.006902467071493597,0.0,0
S00783,X818,0.006902467071493597,0.0,0
S00785,X818,0.006902467071493597,0.0,0
S00796,X818,0.006902467071493597,0.0,0
S00799,X818,0.006902467071493597,0.0,0
S00804,X818,0.006902467071493597,0.0,0
S00810,X818,0.006902467071493597,0.0,0
S00811,X818,0.006902467071493597,0.0,0
S00812,X818,0.006902467071493597,0.0,0
S00814,X818,0.006902467071493597,0.0,0
S00830,X818,0.006902467071493597,0.0,0
S00840,X818,0.006902467071493597,0.0,0
S00841,X818,0.006902467071493597,0.0,0
S00846,X818,0.006902467071493597,0.0,0
S00850,X818,0.006902467071493597,0.0,0
S00852,X818,0.006902467071493597,0.0,0
S00854,X818,0.006902467071493597,0.0,0
S00871,X818,0.006902467071493597,0.0,0
S00878,X818,0.006902467071493597,0.0,0
S00882,X818,0.006902467071493597,0.0,0
S00885,X818,0.006902467071493597,0.0,0
S00887,X818,0.006902467071493597,0.0,0
S00891,X818,0.006902467071493597,0.0,0
S00893,X818,0.006902467071493597,0.0,0
S00894,X818,0.006902467071493597,0.0,0
S00896,X818,0.006902467071493597,0.0,0
S00900,X818,0.006902467071493597,0.0,0
S00902,X818,0.006902467071493597,0.0,0
S00904,X818,0.006902467071493597,0.0,0
S00914,X818,0.006902467071493597,0.0,0
S00917,X818,0.006902467071493597,0.0,0
S00922,X818,0.006902467071493597,0.0,0
S00926,X818,0.006902467071493597,0.0,0
S00929,X818,0.006902467071493597,0.0,0
S00931,X818,0.006902467071493597,0.0,0
S00933,X818,0.006902467071493597,0.0,0
S00941,X818,0.006902467071493597,0.0,0
S00944,X818,0.006902467071493597,0.0,0
S00952,X818,0.006902467071493597,0.0,0
S00957,X818,0.006902467071493597,0.0,0
S00961,X818,0.006902467071493597,0.0,0
S00964,X818,0.006902467071493597,0.0,0
S00968,X818,0.006902467071493597,0.0,0
S00976,X818,0.006902467071493597,0.0,0
S00979,X818,0.006902467071493597,0.0,0
S00987,X818,0.006902467071493597,0.0,0
S00994,X818,0.006902467071493597,0.0,0
S00998,X818,0.006902467071493597,0.0,0
S01022,X818,0.006902467071493597,0.0,0
S01027,X818,0.006902467071493597,0.0,0
S01032,X818,0.006902467071493597,0.0,0
S01035,X818,0.006902467071493597,0.0,0
S01038,X818,0.006902467071493597,0.0,0
S01039,X818,0.006902467071493597,0.0,0
S01040,X818,0.006902467071493597,0.0,0
