die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
28,20,609,0.00248949,0.00365142,0.00103985,216,35.47,2489.5,3651.4,11.102
28,21,667,0.00253685,0.0037001,0.00102869,206,30.88,2536.9,3700.1,11.011
28,22,595,0.00248666,0.00365789,0.00104952,166,27.9,2486.7,3657.9,11.011
28,23,565,0.00243547,0.0036504,0.00111019,138,24.42,2435.5,3650.4,11.102
28,24,741,0.00250812,0.00362724,0.00098091,178,24.02,2508.1,3627.2,11.281
28,25,544,0.00254886,0.0035955,0.00097298,143,26.29,2548.9,3595.5,11.543
28,26,740,0.00273135,0.00364028,0.00087399,212,28.65,2731.4,3640.3,11.885
28,27,614,0.00254109,0.003646,0.00090083,150,24.43,2541.1,3646.0,12.298
28,28,637,0.0024415,0.00365715,0.00089627,110,17.27,2441.5,3657.2,12.777
28,29,566,0.00241265,0.0035974,0.00105188,144,25.44,2412.6,3597.4,13.314
28,30,708,0.00248168,0.00366658,0.00089929,146,20.62,2481.7,3666.6,13.901
28,31,528,0.00243484,0.00355244,0.00080992,94,17.8,2434.8,3552.4,14.534
29,12,473,0.00235683,0.00370004,0.00085783,56,11.84,2356.8,3700.0,13.793
29,13,545,0.0022756,0.00361981,0.00105326,96,17.61,2275.6,3619.8,13.124
29,14,602,0.00271797,0.0035497,0.0009024,182,30.23,2718.0,3549.7,12.5
29,15,425,0.0024023,0.00359642,0.00108051,87,20.47,2402.3,3596.4,11.927
29,16,658,0.00247478,0.00364974,0.00100724,113,17.17,2474.8,3649.7,11.413
29,17,636,0.00230347,0.00363625,0.00113095,139,21.86,2303.5,3636.2,10.966
29,18,602,0.00237279,0.00364266,0.00112222,143,23.75,2372.8,3642.7,10.595
29,19,561,0.00258591,0.00364558,0.00104798,176,31.37,2585.9,3645.6,10.308
29,20,702,0.00258473,0.00381986,0.00106359,243,34.62,2584.7,3819.9,10.112
29,21,558,0.00282916,0.00363781,0.00078594,223,39.96,2829.2,3637.8,10.012
29,22,648,0.00221804,0.00369074,0.00113714,151,23.3,2218.0,3690.7,10.012
29,23,520,0.00257054,0.00364961,0.00086155,72,13.85,2570.5,3649.6,10.112
29,24,632,0.00231485,0.00367339,0.00098693,101,15.98,2314.8,3673.4,10.308
29,25,663,0.00261353,0.00368358,0.00093611,187,28.21,2613.5,3683.6,10.595
29,26,702,0.00267091,0.00365649,0.0009625,217,30.91,2670.9,3656.5,10.966
29,27,651,0.00256732,0.00359969,0.00088516,138,21.2,2567.3,3599.7,11.413
29,28,769,0.0023587,0.00370944,0.00086502,128,16.64,2358.7,3709.4,11.927
29,29,610,0.00261764,0.0035927,0.00091396,138,22.62,2617.6,3592.7,12.5
29,30,583,0.00224178,0.00361649,0.00096363,122,20.93,2241.8,3616.5,13.124
29,31,483,0.00256489,0.00361695,0.00082895,99,20.5,2564.9,3617.0,13.793
30,12,545,0.00247786,0.00362391,0.00075715,88,16.15,2477.9,3623.9,13.086
30,13,483,0.00248645,0.00374494,0.00095794,100,20.7,2486.4,3744.9,12.379
30,14,590,0.002423,0.00359427,0.00106935,146,24.75,2423.0,3594.3,11.715
30,15,505,0.00238218,0.00357969,0.00108959,124,24.55,2382.2,3579.7,11.102
30,16,690,0.00263426,0.00358801,0.00084542,123,17.83,2634.3,3588.0,10.548
30,17,571,0.00228366,0.00363131,0.001111,181,31.7,2283.7,3631.3,10.062
30,18,672,0.00253253,0.00361802,0.00098751,188,27.98,2532.5,3618.0,9.657
30,19,596,0.00252338,0.00364691,0.00101052,125,20.97,2523.4,3646.9,9.341
30,20,516,0.00260027,0.0036695,0.00099635,193,37.4,2600.3,3669.5,9.124
30,21,709,0.00259279,0.00364169,0.0009644,217,30.61,2592.8,3641.7,9.014
30,22,713,0.00254488,0.00365528,0.00100354,217,30.43,2544.9,3655.3,9.014
30,23,541,0.00244222,0.00362178,0.0011055,142,26.25,2442.2,3621.8,9.124
30,24,743,0.00257185,0.003621,0.0009106,173,23.28,2571.8,3621.0,9.341
30,25,567,0.0026114,0.00358585,0.00096723,183,32.28,2611.4,3585.8,9.657
30,26,706,0.00265231,0.00363139,0.00091658,227,32.15,2652.3,3631.4,10.062
30,27,646,0.00257536,0.00361942,0.00097536,225,34.83,2575.4,3619.4,10.548
30,28,657,0.00231011,0.00364394,0.00095214,117,17.81,2310.1,3643.9,11.102
30,29,621,0.00235311,0.00359723,0.00101763,93,14.98,2353.1,3597.2,11.715
30,30,701,0.00243804,0.00355957,0.00092804,114,16.26,2438.0,3559.6,12.379
30,31,585,0.00249079,0.00355474,0.00081265,104,17.78,2490.8,3554.7,13.086
31,11,16,0.00174941,0.00289455,0.00052736,0,0.0,1749.4,2894.6,13.2
31,12,564,0.0024799,0.00377168,0.00083441,79,14.01,2479.9,3771.7,12.42
31,13,615,0.00251988,0.00370757,0.00090121,98,15.93,2519.9,3707.6,11.673
31,14,565,0.00254759,0.00366545,0.00096362,130,23.01,2547.6,3665.4,10.966
31,15,457,0.00231498,0.00361171,0.00119218,120,26.26,2315.0,3611.7,10.308
31,16,654,0.00244327,0.0036881,0.00108296,168,25.69,2443.3,3688.1,9.708
31,17,652,0.00235335,0.00361354,0.00109708,168,25.77,2353.4,3613.5,9.179
31,18,544,0.00241746,0.00369072,0.00102236,127,23.35,2417.5,3690.7,8.732
31,19,591,0.00259339,0.00370423,0.00105558,215,36.38,2593.4,3704.2,8.382
31,20,578,0.00270428,0.00375867,0.00099113,200,34.6,2704.3,3758.7,8.139
31,21,534,0.00272558,0.00365452,0.00083212,139,26.03,2725.6,3654.5,8.016
31,22,750,0.00222726,0.00367324,0.00118044,200,26.67,2227.3,3673.2,8.016
31,23,588,0.0024886,0.00369517,0.00097181,112,19.05,2488.6,3695.2,8.139
31,24,581,0.00255527,0.00372612,0.00086273,116,19.97,2555.3,3726.1,8.382
31,25,515,0.00254909,0.00361463,0.00101272,137,26.6,2549.1,3614.6,8.732
31,26,601,0.00255216,0.00363234,0.00102769,178,29.62,2552.2,3632.3,9.179
31,27,720,0.00255185,0.00357089,0.00096208,245,34.03,2551.8,3570.9,9.708
31,28,702,0.00237987,0.00364536,0.0009321,126,17.95,2379.9,3645.4,10.308
31,29,764,0.00258984,0.00376924,0.00085892,156,20.42,2589.8,3769.2,10.966
31,30,660,0.00234134,0.00354102,0.00102589,118,17.88,2341.3,3541.0,11.673
31,31,594,0.00245002,0.0035614,0.00082778,96,16.16,2450.0,3561.4,12.42
31,32,38,0.00123151,0.0033212,0.0006844,2,5.26,1231.5,3321.2,13.2
32,11,38,0.00275038,0.00348932,0.00084181,11,28.95,2750.4,3489.3,12.619
32,12,609,0.00253746,0.00360409,0.00081944,95,15.6,2537.5,3604.1,11.8
32,13,662,0.00262053,0.00366904,0.00086065,131,19.79,2620.5,3669.0,11.011
32,14,613,0.00256468,0.00363259,0.00100193,155,25.29,2564.7,3632.6,10.259
32,15,514,0.0024557,0.00365116,0.00108621,172,33.46,2455.7,3651.2,9.552
32,16,737,0.00267503,0.00367017,0.00081511,159,21.57,2675.0,3670.2,8.902
