die_x,die_y,pred_a,pred_b,delta,n_a,n_b
23,17,0.00261763,0.0020129,-0.00060473,157,43
23,18,0.00261078,0.00197342,-0.00063736,169,48
23,19,0.00263515,0.00202277,-0.00061238,160,41
23,20,0.00260278,0.00173836,-0.00086442,159,43
23,21,0.00261483,0.00194148,-0.00067335,169,48
23,22,0.00255445,0.00189278,-0.00066167,149,44
23,23,0.00263597,0.00205151,-0.00058445,158,47
23,24,0.00264308,0.00194779,-0.00069529,153,45
23,25,0.00274712,0.00199335,-0.00075377,157,46
23,26,0.00258686,0.0019938,-0.00059306,168,47
23,27,0.00250622,0.00206049,-0.00044573,157,46
23,28,0.0026096,0.00214446,-0.00046514,163,43
23,29,0.00253879,0.00215512,-0.00038367,152,38
23,30,0.00228174,0.00250884,0.0002271,88,16
24,13,0.0024822,0.00251085,2.865e-05,127,35
24,14,0.00249493,0.00196218,-0.00053274,156,39
24,15,0.00254689,0.00201232,-0.00053457,152,41
24,16,0.00252383,0.00208818,-0.00043564,150,33
24,17,0.00256611,0.00192171,-0.0006444,164,51
24,18,0.00265837,0.00202541,-0.00063296,162,32
24,19,0.00261713,0.00180295,-0.00081418,141,42
24,20,0.0027072,0.0019859,-0.0007213,162,42
24,21,0.00259905,0.00204526,-0.00055378,169,43
24,22,0.00270649,0.00218282,-0.00052366,168,48
24,23,0.00258824,0.00191021,-0.00067803,159,43
24,24,0.00265351,0.00211993,-0.00053357,165,43
24,25,0.00265747,0.00200288,-0.00065459,165,41
24,26,0.00269741,0.00190331,-0.0007941,162,43
24,27,0.00263677,0.00216411,-0.00047265,163,47
24,28,0.00261081,0.00199998,-0.00061083,154,45
24,29,0.00252948,0.00204657,-0.0004829,157,45
24,30,0.00247696,0.00238498,-9.198e-05,143,32
25,13,0.00246973,0.00242558,-4.415e-05,152,42
25,14,0.00256531,0.00194811,-0.0006172,155,42
25,15,0.00258793,0.00194791,-0.00064002,174,40
25,16,0.00267283,0.00196286,-0.00070997,151,41
25,17,0.00257513,0.00195078,-0.00062434,165,44
25,18,0.00257787,0.00224943,-0.00032844,163,40
25,19,0.00265348,0.00199871,-0.00065477,166,46
25,20,0.00259292,0.00188151,-0.00071141,156,38
25,21,0.00261934,0.00206913,-0.00055021,165,41
25,22,0.0027423,0.00176954,-0.00097276,153,47
25,23,0.00259739,0.00202726,-0.00057014,159,46
25,24,0.00269268,0.00195185,-0.00074083,170,45
25,25,0.0027825,0.00205243,-0.00073008,159,39
25,26,0.00251137,0.00193135,-0.00058002,153,52
25,27,0.0025079,0.00204234,-0.00046556,152,48
25,28,0.00265228,0.00205653,-0.00059575,165,49
25,29,0.00251401,0.00218842,-0.00032558,146,37
