run_id,wafer_no,total_dies,risk_dies,avg_ppm
52,18,56,4,3129.3
52,19,96,0,3080.8
52,20,100,0,2821.4
52,21,80,0,2709.6
52,22,76,0,2909.6
52,23,72,0,2942.7
52,24,84,0,2481.9
53,1,84,84,3594.4
53,2,88,88,3590.2
53,3,60,56,3476.4
53,4,60,60,3452.4
53,5,64,60,3447.0
53,6,92,84,3504.5
53,7,100,96,3476.1
53,8,76,76,3556.7
53,9,92,92,3498.1
53,10,92,40,3334.6
53,11,116,112,3460.3
53,12,60,60,3463.7
53,13,96,92,3533.1
53,14,80,64,3407.2
53,15,92,44,3332.3
53,16,84,84,3596.6
53,17,84,72,3411.7
53,18,60,20,3278.3
53,19,96,60,3383.5
53,20,72,68,3533.1
53,21,80,52,3350.0
53,22,116,104,3425.1
53,23,88,84,3557.5
53,24,84,84,3525.0
53,25,96,68,3423.3
54,1,100,0,3047.9
54,3,88,0,2962.2
54,8,108,0,2042.7
54,9,96,0,410.5
54,11,100,0,385.9
54,14,72,0,385.0
54,16,84,0,425.0
54,17,92,0,443.0
54,24,116,0,2252.8
54,25,48,0,2360.6
55,1,92,0,395.3
55,3,80,0,382.1
55,8,116,0,2690.0
55,9,124,0,2802.8
55,11,52,0,2380.7
55,14,104,0,2842.5
55,17,88,0,2567.9
56,2,112,0,2070.9
56,3,104,0,1965.4
56,4,92,0,1356.6
56,5,60,0,448.9
56,6,84,0,1420.1
56,8,40,0,1354.2
56,10,96,0,1643.7
56,12,72,0,1033.4
56,14,56,0,1631.9
56,15,92,8,3083.9
56,16,92,0,2126.6
56,18,112,0,2734.9
56,19,44,0,2650.9
56,20,92,0,2712.9
56,21,68,0,2313.1
56,22,40,0,2225.1
56,23,68,0,2318.3
56,24,104,0,1909.0
56,25,88,0,1844.1
57,1,64,0,715.8
57,2,104,0,757.5
57,4,72,12,906.5
57,5,40,0,1006.6
57,6,72,0,567.0
57,7,60,8,1182.1
57,8,100,4,487.9
57,10,80,4,591.3
57,11,96,0,766.9
57,12,84,0,411.0
57,13,96,4,580.2
57,14,104,0,796.1
57,16,52,8,1108.3
57,17,100,4,684.6
57,18,92,4,580.0
57,19,48,8,886.6
57,20,100,0,711.2
57,22,84,0,435.6
57,23,72,0,365.6
57,24,76,12,886.0
57,25,108,8,597.9
58,1,96,0,2998.9
58,2,84,0,2928.7
58,3,84,52,3367.1
58,4,108,12,3149.3
58,5,128,68,3286.3
58,7,88,0,1808.2
58,8,72,8,2868.0
58,9,68,0,1587.9
58,10,80,0,1269.5
58,11,100,0,1441.3
58,13,96,0,2660.6
58,14,60,4,2877.7
58,15,60,0,2334.5
58,16,64,0,2007.9
58,17,96,0,2993.9
58,19,92,0,1954.3
58,20,84,0,3012.7
58,21,104,0,1292.4
58,22,84,0,3070.1
58,23,92,0,2985.2
59,2,64,0,2826.4
59,3,88,0,1609.0
59,4,100,0,2734.2
59,6,104,0,2036.9
59,8,112,0,2078.8
59,9,56,0,1993.6
59,10,112,0,3055.1
59,11,84,0,2735.1
59,12,124,0,2838.6
59,14,76,0,2023.2
59,15,72,0,2152.5
59,16,68,0,2234.5
59,17,84,0,2206.3
59,18,68,0,2772.7
59,20,72,0,2775.2
59,21,68,0,2563.2
59,22,64,0,2051.4
59,23,92,0,2104.3
59,24,84,0,2962.7
60,5,100,52,3299.7
60,10,64,60,3512.9
60,12,80,64,3420.0
60,13,84,56,3379.7
60,14,88,72,3402.7
60,15,112,92,3440.5
60,16,68,64,3448.0
60,17,116,68,3350.1
60,18,92,76,3421.2
60,19,76,48,3320.4
60,20,68,32,3309.4
60,21,112,44,3236.3
60,22,68,32,3253.2
60,23,84,52,3369.3
60,25,56,44,3347.6
61,2,84,44,3348.0
61,3,104,96,3430.4
61,4,92,88,3462.4
61,5,64,52,3232.0
61,7,80,12,3142.1
61,8,80,60,3302.6
61,9,100,64,3383.2
61,10,100,84,3442.6
61,11,104,88,3424.6
61,14,96,76,3417.1
61,15,100,28,3240.0
61,16,96,8,3224.5
61,19,60,44,3422.2
61,20,64,0,3064.2
61,21,88,64,3366.8
61,22,76,0,3033.7
61,23,56,0,3057.7
61,25,80,72,3414.7
62,6,88,56,3320.2
62,7,96,8,3090.4
62,10,76,48,3245.7
62,11,64,28,3231.1
62,12,72,16,3204.0
62,13,80,64,3419.5
62,17,84,76,3442.8
62,18,92,88,3513.7
62,19,112,68,3332.3
62,20,60,36,3254.2
62,21,96,72,3399.9
62,22,80,0,3081.2
63,1,112,104,3425.4
63,3,108,36,3247.5
63,4,64,0,3014.1
63,5,104,64,3355.3
63,10,104,56,3334.2
63,11,116,60,3349.5
63,16,56,0,3090.7
63,17,100,0,3032.7
63,21,76,20,3260.5
63,22,108,4,2960.2
63,23,84,48,3410.4
63,24,56,24,3305.4
64,1,68,0,2735.3
64,2,88,88,3444.5
64,3,60,60,3494.2
64,4,64,64,3500.0
64,5,96,88,3476.0
64,6,92,80,3513.3
64,8,80,80,3501.8
64,9,68,68,3524.3
64,10,104,104,3552.2
64,11,88,84,3517.1
64,12,56,44,3483.4
64,13,108,104,3466.3
64,14,84,84,3539.4
64,15,88,80,3442.6
64,16,92,88,3447.4
64,17,64,56,3537.3
64,18,72,64,3474.2
64,19,72,48,3399.2
64,20,88,76,3447.1
64,21,76,72,3509.4
64,23,96,96,3541.3
64,25,68,60,3509.8
65,2,120,36,3229.9
65,3,84,0,2979.4
65,4,72,4,3075.7
65,5,104,0,1537.5
65,6,104,8,2840.7
65,9,80,0,2075.6
65,11,112,24,3219.6
65,12,120,0,3118.5
65,14,72,0,3043.6
65,15,100,0,2937.1
65,21,100,0,2800.8
65,22,56,0,3009.4
65,24,92,20,3214.7
66,1,80,0,2100.8
66,2,88,0,2636.5
66,3,92,0,2111.5
66,4,80,0,2568.3
66,5,92,0,3109.7
66,6,108,0,1255.4
66,7,60,0,1798.8
66,8,84,12,3183.1
66,9,84,0,3008.7
66,10,80,0,987.3
66,11,104,0,2880.1
66,13,80,0,3085.4
66,14,104,0,2187.2
66,16,92,0,3037.1
66,17,96,0,1635.3
66,18,60,0,2873.3
66,19,128,0,1443.6
66,20,96,0,2986.4
66,21,52,0,3035.8
66,23,76,0,702.6
66,24,72,0,1517.7
66,25,84,0,2830.6
67,3,64,0,1192.9
67,4,48,0,1018.2
67,5,44,0,1224.1
67,6,44,0,1724.1
67,7,24,0,2355.5
67,9,24,0,2110.9
67,10,32,0,1559.3
67,11,44,0,1243.8
67,12,24,8,3306.4
67,13,32,0,2862.5
67,15,12,0,3160.4
67,16,20,0,2928.6
67,17,8,0,3051.5
67,18,16,4,3203.2
67,19,4,0,3077.0
67,21,12,0,3055.1
67,22,44,8,3134.7
67,24,8,0,3047.4
68,10,80,8,3121.7
68,12,76,48,3338.1
68,14,68,0,3096.2
68,17,68,0,3000.7
68,18,96,32,3261.7
68,19,88,0,2165.6
68,20,64,4,3169.8
68,21,48,0,2633.6
68,22,72,0,2241.2
68,23,88,0,1964.2
68,24,76,0,1927.4
68,25,76,0,2899.5
69,2,80,52,3347.7
69,4,96,80,3410.8
69,5,88,32,3345.1
69,6,92,0,3205.3
69,8,72,48,3404.8
69,10,96,72,3382.1
69,11,60,0,3155.6
69,15,56,0,1592.1
69,16,88,0,1848.0
