feature,importance
X47_min,4
X794_median,4
X185_range,4
X213_range,4
X797_mean,4
X298_range,4
X106_range,4
X788_mean,4
X816_min,4
X820_min,4
X504_mean,4
X977_mean,4
X128_max,4
X400_mean,4
X403_mean,4
X416_mean,4
X830_min,4
X783_max,4
X791_max,4
X667_median,4
X69_range,4
X74_range,4
X83_range,4
X561_std,4
X570_std,4
X932_median,4
X425_mean,4
X78_max,4
X81_max,4
X83_max,4
X953_mean,4
X110_max,4
X38_range,4
X40_range,4
X479_range,4
X656_min,4
X657_min,4
X588_min,4
X841_min,4
X19_range,4
X29_range,4
X31_range,4
X910_median,4
X388_mean,4
X392_mean,4
X63_min,4
X504_std,4
X874_median,4
X53_median,4
X66_median,4
X69_median,4
X28_max,4
X35_max,4
X657_std,4
X631_std,4
X889_median,4
X638_min,4
X583_range,4
X645_median,4
X584_median,4
X1075_std,4
X834_min,4
X836_min,4
X587_median,4
X589_median,4
X590_median,4
X613_median,4
X585_min,4
X830_max,4
X613_range,4
X643_range,4
X767_mean,4
X768_mean,4
X833_max,4
X917_mean,4
X4_max,4
X1070_min,4
X645_std,4
X505_max,4
X754_std,4
X1074_min,4
X271_mean,4
X66_min,4
X67_min,4
X344_mean,4
X429_mean,4
X433_mean,4
X1081_std,4
X810_mean,4
X813_mean,4
X881_min,4
X578_max,4
X804_std,4
X765_std,4
X1019_min,4
X745_std,4
X747_std,4
X583_median,4
X1032_std,4
X765_max,4
X837_median,4
X110_min,4
X123_min,4
X867_range,4
X253_median,4
X793_std,4
X799_std,4
X755_std,4
X757_std,4
X552_max,4
X801_std,4
X566_mean,4
X569_mean,4
X572_mean,4
X285_median,4
X287_median,4
X209_mean,4
X202_min,4
X106_min,4
X808_std,4
X780_std,4
X783_std,4
X841_median,4
X992_std,4
X824_mean,4
X903_min,4
X867_std,4
X317_median,4
X318_median,4
X336_median,4
X834_range,4
X275_median,4
X592_max,4
X839_std,4
X853_mean,4
X859_mean,4
X888_mean,4
X509_median,4
X674_range,4
X690_range,4
X839_max,4
X679_max,4
X988_std,4
X728_max,4
X733_max,4
X859_median,4
X460_mean,4
X462_mean,4
X188_mean,4
X951_std,4
X831_range,4
X158_min,4
X875_std,4
X877_std,4
X866_mean,4
X867_mean,4
X894_std,4
X847_std,4
X848_mean,4
X750_mean,4
X754_mean,4
X757_mean,4
X911_std,4
X644_max,4
X664_max,4
X459_mean,4
X856_max,4
X455_min,4
X442_median,4
X444_median,4
X446_median,4
X907_max,4
X327_min,4
X643_mean,4
X917_std,4
X926_std,4
X887_std,4
X1045_mean,4
X1076_mean,4
X432_max,4
X298_max,4
X1032_max,4
X1080_range,4
X7_mean,4
X1058_median,4
X1058_mean,4
X53_mean,4
X1017_median,4
X35_mean,4
X1044_mean,4
X769_median,4
X790_median,4
X14_min,3
X791_median,3
X775_median,3
X766_median,3
X763_median,3
X736_min,3
X734_min,3
X1031_median,3
X1013_median,3
X1007_median,3
X21_mean,3
X398_max,3
X1079_median,3
X1074_median,3
X296_max,3
X805_median,3
X779_min,3
X752_min,3
X587_mean,3
X736_mean,3
X480_max,3
X165_max,3
X174_max,3
X994_median,3
X10_min,3
X679_min,3
X720_min,3
X674_min,3
X575_mean,3
X577_mean,3
X583_mean,3
X849_std,3
X889_std,3
X253_min,3
X205_min,3
X210_min,3
X915_std,3
X552_mean,3
X648_max,3
X649_max,3
X631_mean,3
X632_mean,3
X453_mean,3
X454_mean,3
X448_median,3
X460_median,3
X446_min,3
X852_median,3
X856_median,3
X461_mean,3
X840_max,3
X847_max,3
